paper_id,author,title,year,journal,volume,issue,pages,notes
110,Guerrouj et al,Identification of the rhizobial symbiont of Astragalus glombiformis in Eastern Morocco as Mesorhizobium camelthorni,2013,Antonie van Leeuwenhoek,104,,187-198,
111,Guerrouj et al,Ensifer meliloti is the preferred symbiont of Medicago arborea in eastern Morocco soils,2013,Canadian Journal of Microbiology,59,,540-548,
112,Gueye et al,Genetic diversity and distribution of Bradyrhizobium and Azorhizobium strains associated with the herb legume Zornia glochidiata sampled from across Sengal,2009,Systematic and Applied Microbiology,32,,387-399,
113,Han et al,"Molecular diversity and phylogeny of rhizobia associated with wild legumes native to Xinjiang, China",2008,Systematic and Applied Microbiology,31,,287-301,
114,Han et al,"Rhizobium multihospitium sp. nov., isolated from multiple legume species native of Xinjiang, China",2008,International Journal of Systematic and Evolutionary Microbiology,58,,1693-1699,
115,Han et al,"Mesorhizobium gobiense sp. nov. and Mesorhizobium tarimense sp. nov., isolated from wild legumes growing in desert soils of Xinjiang, China",2008,International Journal of Systematic and Evolutionary Microbiology,58,,2610-2618,
116,Hassen et al,"Nodulation of rooibos (Aspalathus linearis Burm. f.), an indigenous South African legume, by members of both the _-Proteobacteria and the _-Proteobacteria",2012,Biology and Fertility of Soils,48,,295-303,
117,Haukka et al,Pulsed-field gel electrophoresis for genotypic comparison of Rhizobium bacteria that nodulate leguminous trees,1994,Federation of European Microbiological Societies,119,,215-220,
118,Hoque et al,Genetic characterization fo root-nodule bacteria associated with Acacia salicina and A/ stenophylla (Mimosaceae) across south-eastern Australia,2011,International Journal of Systematic and Evolutionary Microbiology,61,,299-309,
119,Hou et al,Rhizobial resource associated with epidemic legumes in Tibet,2009,Microbial Ecology,57,,69-81,
120,Howieson et al,Novel Burkholderia bacteria isolated from Lebeckia ambigua - A perennial suffrutescent legume of the fynbos,2013,Soil Biology and Biochemistry,60,,55-64,
121,Hung et al,Indigenous rhizobia associated with native shrubby legumes in Taiwan,2005,Pedobiologia,49,,577-584,
122,Iglesias et al,Genetic characterization of fast-growing rhizobia able to nodulate Prosopis alba in North Spain,2007,Federation of European Microbiological Societies,277,,210-216,
123,Jaftha et al,Characterization of pigmented methylotrophic bacteria which nodulate Lotononis bainesii,2002,Systematic and Applied Microbiology,25,,440-449,
124,Jarabo-Lorenzo et al,Restriction fragment length polymorphism analysis of 16S rDNA and low molecular weight RNA profiling of rhizobial isolates from shrubby legumes endemic to the Canary Islands,2000,Systematic and Applied Microbiology,23,,418-425,
125,Jarabo-Lorenzo et al,Genetic diversity of Bradyrhizobial populations from diverse geograpgic origins that nodulate Lupinus spp. And Ornithopus spp.,2003,Systematic and Applied Microbiology,26,,611-623,
126,Kaiwei et al,"Symbiotic efficiency, genetic diversity and phylogeny of the rhizobia isolated from Leucaena Leucocephala iin arid-hot river valley area in panxi, sichuan, china",2011,,,,,
127,Kalita and Malek,Phenotypic and genomic characteristics of rhizobia isolated from Genista tinctoria root nodules,2004,Systematic and Applied Microbiology,27,,707-715,
128,Kan et al,Characterization of symbiotic and endophytic bacteria isolated from root nodules of herbaceous legumes grown in Qinghai-Tibet plateau and in other zones of China,2007,Archives of Microbiology,188,,103-115,
129,Kang et al,Diversity of rhizobia associated with leguminous trees growing in South Korea,2013,Journal of Basic Microbiology,53,,291-298,
130,Kanu and Dakora,"Symbiotic nitrogen contribution and biodiversity of root-nodule bacteria nodulating Psoralea species in the Cape Fynbos, South Africa",2012,Soil Biology and Biochemistry,54,,68-76,
131,Kaplan et al,"A survey of the microbial community in the rhizosphere of two dominant shrubs of the Negev Desert highlands, Zygophyllum dumosum (Zygophyllaceae) and Atriplex halimus (Amaranthaceae), using cultivation-dependent and cultivation-independent methods",2013,American Journal of Botany,100,9,1713-1725,
132,Khbaya et al,Genetic diversity and phylogeny of rhizobia that nodulate Acacia spp. in Morocco assessed by analysis of rRNA genes,1998,Applied and Environmental Microbiology,65,12,4912-4917,
133,Klonowska,"Biodiversity of Mimosa pudica rhizobial symbionts (Cupriavidus taiwanensis, Rhizobium mesoamericanum) in New Caledonia and their adaptation to heavy metal-rich soils",2012,Federation of European Microbiological Societies,81,,618-635,Need supplimental figures
134,Kumar and Ram,Phosphate solubizing rhizobia isolated from Vigna trilobata,2014,American Journal of Microbiological Research,2,3,105-109,
135,Kumar et al,"Structural and functional diversity of rhizobacteria associated with Rauwolfia spp. Across the Western Ghat regions of Karnataka, India",2014,World Journal of Microbiology and Biotechnology,30,,163-173,
136,Lafay and Burdon,Molecular diversity of rhizobia occurring on native shrubby legumes in southeastern Australia,1998,Applied and Environmental Microbiology,64,10,3989-3997,
137,Lafay and Burdon,Small-subunit rRNA genotyping of rhizobia nodulating australian Acacia spp.,2001,Applied and Environmental Microbiology,67,1,396-402,
138,Lafay and Burdon,Molecular diversity of rhizobia nodulating the invasive legume Cytisus scoparius in Australia,2006,Journal of Applied Microbiology,100,,1228-1238,
139,Lafay and Burdon,"Molecular diversity of legume root-nodule bacteria in Kakadu National Park, Northern Territory, Australia",2007,PLoS ONE,2,3,e277,
140,Hoppe et al,"Methylobacterium bullatum sp. Nov., a methylotrophic bacterium isolated from Funaria hygrometrica",2011,Systematic and Applied Microbiology,34,,482-486,
141,Irisarri et al,Characterization of rhizobia nodulating Lotus subbiflorus from Uruguayan soils,1996,Plant and Soil,180,,39-47,
142,Krishnan and Chronis,"Functional nodFE genes are present in sinorhizobium sp. Strain MUS10, a symbiont of the tropical legume Sesbania rostrata",2008,Applied and Environmental Microbiology,74,9,2921-2923,
143,Kumari et al,"Studies on nodulation, biochemical analysis and protein profiles of Rhizobium isolated from Indigofera species",2010,Malaysian Journal of Microbiology,6,2,133-139,
144,Laguerre et al,"Genetic diversity of Rhizobial symbionts isolated from legume species within the genera Astragalus, Oxytropis, and Onobrychis",1997,Applied and Environmental Microbiology,63,12,4748-4758,
145,de Lajudie et al,"Allorhizobium undicola gen. nov., sp. nov., nitrogen-fizing bacteria that efficiently nodulate Neptunia natans in Senegal",1998,International Journal of Systematic Bacteriology,48,,1277-1290,
146,Lammel et al,Diversity and symbiotic effectiveness of beta-rhizobia isolated from subtropic legumes of a Brazilian Araucaria forest,2013,World Journal of Microbiology and Biotechnology,29,,2335-2342,
147,Latif et al,"The diversity of Rhzobia, Sinorhizobia and novel non-Rhizobial Paenilbacillus nodulating wild herbaceous legume",2013,Archives of Microbiology,195,,647-653,
148,Le Roux et al,Bradyrhizobia nodulating the Acacia mangium x A. auriculiformis interspecific hybrid are specific and differ from those associated with both parental species,2009,Applied and Environmental Microbiology,75,24,7752-7759,
149,Le Roux et al,Genetic diversity patterns and functional traits of Bradyrhizobium strains associated with Pterocarpus officinalis Jacq. In Caribbean Islands and Amazonian Forest (French Guiana),2014,Microbial Ecology,68,,329-338,
150,Leary et al,The major features of an infestation by the invasive weed legume gorse(Ulex europaeus) on volcanic soils in Hawaii,2005,Biology and Fertility of Soils,42,,215-223,
151,Lei et al,Diverse bacteria isolated from root nodules of wild Vicia species grown in temperate region of China,2008,Archives of Microbiology,190,,657-671,
152,Leon-Barrios et al,Ensifer meliloti bv. Lancerottense establishes nitrogen-fixing symbiosis with Lotus endemic to the Canary Islans and shes distinctive symbiotic genotypes and host range,2009,Systematic and Applied Microbiology,32,,413-420,
153,Li et al,"Genetic diversity, community structure and distribution of rhizobia in the root nodules of Caragana spp. From arid and semi-arid alkaline deserts, in the north of china",2012,Systematic and Applied Microbiology,35,,239-245,
154,Lima et al,Nitrogen-fixing bacteria communities occuring in soils under different uses in the Western Amazon Region as indicated by nodulation of siratro (Macroptilium atropurpureum,2009,Plant and Soil,319,,127-145,
155,Lin et al,"Shinella kummerowiae sp. nov., a symbiotic bacterium isolated from root nodules of the herbal legume Kummerowia stipulacea",2008,International Journal of Systematic and Evolutionary Microbiology,58,,1409-1413,
156,Lin et al,"Rhizobium mesosinicum sp. nov., isolated from root nodules of three different legumes",2009,International Journal of Systematic and Evolutionary Microbiology,59,,1919-1923,
157,Lin et al,Diverse rhizobia that nodulate two species of Kummerowia in China,2007,Archives of Microbiology,188,,495-507,
158,Liu et al,"Diverse rhizobia associated with woody legumes Wisteria sinensis, Cercis racemosa and Amorpha fruticosa grown in the temperate zone of China",2005,Systematic and Applied Microbiology,28,,465-477,
159,Liu et al,"Diverse bacteria isolated from root nodules of Trifolium, Crotalaria and Mimosa grown in the sub tropical regiuns of China",2007,Archives of Microbiology,188,,14-Jan,
160,Lui et al,"Phylogenetic relationships and diversity of B-rhizobia associated with Mimosa species grown in Shshuangbanna, China",2011,Interantional Journal of Systematic and Evolutionary Microbiology,61,,334-342,
161,Liu et al,Burkholderia and Cupriavidus spp. are the preferred symbionts of Mimosa spp. in Southern China,2012,FEMS Microbiology Ecology,90,,417-426,
