genus,species,genus_species,cultivation status,
Astragalus,mongholicus,Astragalus_mongholicus,,
Astragalus,onobrychis,Astragalus_onobrychis,,
Astragalus,oxyglottis,Astragalus_oxyglottis,,
Astragalus,pachycladus,Astragalus_pachycladus,,
Astragalus,scaberrimus,Astragalus_scaberrimus,,
Astragalus,scobwerrimus,Astragalus_scobwerrimus,,
Astragalus,sinicus,Astragalus_sinicus,,
Astragalus,sp,Astragalus_sp,,
Astragalus,tataricus,Astragalus_tataricus,,
Astragalus,tatsienensis,Astragalus_tatsienensis,,
Astragalus,tibetanus,Astragalus_tibetanus,,
Astragalus,yunnanensis,Astragalus_yunnanensis,,
Aubrevillea,platycarpa,Aubrevillea_platycarpa,,
Baptisia,tinctoria,Baptisia_tinctoria,,
Bossiaea,buxifolia,Bossiaea_buxifolia,,
Bossiaea,ensata,Bossiaea_ensata,,
Bossiaea,eriocarpa,Bossiaea_eriocarpa,,
Bossiaea,foliosa,Bossiaea_foliosa,,
Bryaspis,lupulina,Bryaspis_lupulina,,
Cajanus,acutifolius,Cajanus_acutifolius,,
Calicotome,villosa,Calicotome_villosa,,
Calliandra,depauperata,Calliandra_depauperata,,
Calliandra,grandiflora,Calliandra_grandiflora,,
Calliandra,locoensis,Calliandra_locoensis,,
Calliandra,surinamensis,Calliandra_surinamensis,,
Calopogonium,mucunoides,Calopogonium_mucunoides,,
Camptotheca,acuminata Decne,Camptotheca_acuminata Decne,,
Caragana,arborescens,Caragana_arborescens,,
Caragana,bicolor,Caragana_bicolor,,
Caragana,erinacea,Caragana_erinacea,,
Caragana,franchetiana,Caragana_franchetiana,,
Caragana,intermedia,Caragana_intermedia,,
Caragana,jubata,Caragana_jubata,,
Caragana,microphylla,Caragana_microphylla,,
Caragana,polourensis,Caragana_polourensis,,
Caragana,pruinosa,Caragana_pruinosa,,
Caragana,sinica,Caragana_sinica,,
Caragana,sp,Caragana_sp,,
Carmichaelia,australis,Carmichaelia_australis,,
Carmichaelia,corrugata,Carmichaelia_corrugata,,
Carmichaelia,monroi,Carmichaelia_monroi,,
Carmichaelia,nana,Carmichaelia_nana,,
Carmichaelia,ordorata,Carmichaelia_ordorata,,
Carmichaelia,petriei,Carmichaelia_petriei,,
Carmichaelia,puniceus,Carmichaelia_puniceus,,
Cassia,absus,Cassia_absus,,
Catenaria,caudata,Catenaria_caudata,,
Cathormion,umbellatum,Cathormion_umbellatum,,
Centrolobium,paraense,Centrolobium_paraense,,
Centrosema,macrocarpum,Centrosema_macrocarpum,,
Centrosema,molle,Centrosema_molle,,
Ceratonia,siliqua,Ceratonia_siliqua,,
Cercis,racemosa,Cercis_racemosa,,
Chamaecrista,fasciculata,Chamaecrista_fasciculata,,
Chamaecrista,mimosoides,Chamaecrista_mimosoides,,
Chamaecrista,sp,Chamaecrista_sp,,
Chamaecytisus,proliferus,Chamaecytisus_proliferus,,
Chidlowia,sanguinea,Chidlowia_sanguinea,,
Christia,obcordata,Christia_obcordata,,
Cicer,arietinum,Cicer_arietinum,,
Cicer,canariense,Cicer_canariense,,
Clianthus,puniceus,Clianthus_puniceus,,
Colutea,arborescens,Colutea_arborescens,,
Colytea,nepalensis,Colytea_nepalensis,,
Conzattia,multiflora,Conzattia_multiflora,,
Coronilla,scorpioides,Coronilla_scorpioides,,
Coronilla,varia,Coronilla_varia,,
Cratylia,mollis,Cratylia_mollis,,
Crotalaria,comosa,Crotalaria_comosa,,
Crotalaria,glaucoides,Crotalaria_glaucoides,,
Crotalaria,goreenis,Crotalaria_goreenis,,
Crotalaria,goreensis,Crotalaria_goreensis,,
Crotalaria,hyssopinfolia,Crotalaria_hyssopinfolia,,
Crotalaria,incana,Crotalaria_incana,,
Crotalaria,lathyroides,Crotalaria_lathyroides,,
Crotalaria,medicaginea,Crotalaria_medicaginea,,
Crotalaria,montana,Crotalaria_montana,,
Crotalaria,pallida,Crotalaria_pallida,,
Crotalaria,perrottetii,Crotalaria_perrottetii,,
Crotalaria,podocarpa,Crotalaria_podocarpa,,
Crotalaria,retusa,Crotalaria_retusa,,
Crotalaria,sp.,Crotalaria_sp.,,
Crotalaria,spinosa,Crotalaria_spinosa,,
Crotalaria,zanzibarica,Crotalaria_zanzibarica,,
Cyclopia,intermedia,Cyclopia_intermedia,,
Cyclopia,longifolia,Cyclopia_longifolia,,
Cyclopia,meyeriana,Cyclopia_meyeriana,,
Cytisus,balansae,Cytisus_balansae,,
Cytisus,grandiflora,Cytisus_grandiflora,,
Cytisus,laburnum,Cytisus_laburnum,,
Cytisus,multiflorus,Cytisus_multiflorus,,
Cytisus,purgans,Cytisus_purgans,,
Cytisus,scoparius,Cytisus_scoparius,,
Cytisus,sp,Cytisus_sp,,
Cytisus,striatus,Cytisus_striatus,,
Cytisus,villosus,Cytisus_villosus,,
Dalbergia,balansae,Dalbergia_balansae,,
Dalbergia,baronii,Dalbergia_baronii,,
Dalbergia,chapielieri,Dalbergia_chapielieri,,
Dalbergia,dyeriana,Dalbergia_dyeriana,,
Dalbergia,hancei,Dalbergia_hancei,,
Dalbergia,hupeana,Dalbergia_hupeana,,
Dalbergia,louvelii,Dalbergia_louvelii,,
Dalbergia,madagascariensis,Dalbergia_madagascariensis,,
Dalbergia,maritima,Dalbergia_maritima,,
Dalbergia,mimosoides,Dalbergia_mimosoides,,
Dalbergia,monticola,Dalbergia_monticola,,
Dalbergia,odorifera,Dalbergia_odorifera,,
Dalbergia,purpurascens,Dalbergia_purpurascens,,
Dalbergia,retusa,Dalbergia_retusa,,
Dalbergia,sp.,Dalbergia_sp.,,
Dalea,purpurea,Dalea_purpurea,,
Daviesia,buxifolia,Daviesia_buxifolia,,
Daviesia,latifolia,Daviesia_latifolia,,
Daviesia,leptophylla,Daviesia_leptophylla,,
Daviesia,mimosoides,Daviesia_mimosoides,,
Daviesia,ulicifolia,Daviesia_ulicifolia,,
Derris,elliptica,Derris_elliptica,,
Desmanthus,illinoensis,Desmanthus_illinoensis,,
Desmodium ,multiflorum,Desmodium _multiflorum,,
Desmodium,axillare,Desmodium_axillare,,
Desmodium,brownii,Desmodium_brownii,,
Desmodium,canadense,Desmodium_canadense,,
Desmodium,caudatum,Desmodium_caudatum,,
Desmodium,elegans,Desmodium_elegans,,
Desmodium,fallax,Desmodium_fallax,,
Desmodium,gangeticum,Desmodium_gangeticum,,
Desmodium,glutinosum,Desmodium_glutinosum,,
Desmodium,grahamii,Desmodium_grahamii,,
Desmodium,heterocarpon,Desmodium_heterocarpon,,
Desmodium,microphyllum,Desmodium_microphyllum,,
Desmodium,paniculatum,Desmodium_paniculatum,,
Desmodium,racemosum,Desmodium_racemosum,,
Desmodium,retinens,Desmodium_retinens,,
Desmodium,rotundifolium,Desmodium_rotundifolium,,
Desmodium,sequax,Desmodium_sequax,,
Desmodium,sp.,Desmodium_sp.,,
Desmodium,triflorum,Desmodium_triflorum,,
Dillwynia,brunioides,Dillwynia_brunioides,,
Dillwynia,glaberrima,Dillwynia_glaberrima,,
Dillwynia,ramosissima,Dillwynia_ramosissima,,
Dillwynia,retorta,Dillwynia_retorta,,
Dillwynia,sericea,Dillwynia_sericea,,
Dimorphandra,wilsonii,Dimorphandra_wilsonii,,
Dipogon,lignosus,Dipogon_lignosus,,
Dunbaria,singuliflora,Dunbaria_singuliflora,,
Ebensus,pinnata,Ebensus_pinnata,,
Enterolobium,contortisiliquum,Enterolobium_contortisiliquum,,
Eriosema,glomeratum,Eriosema_glomeratum,,
Erythrina,brucei,Erythrina_brucei,,
Erythrina,crista-galli,Erythrina_crista-galli,,
Faidherbia,albida,Faidherbia_albida,,
Flemingia,parviflora,Flemingia_parviflora,,
Funaria,hygrometrica,Funaria_hygrometrica,,
Galactia,megalophylla,Galactia_megalophylla,,
Galactia,tenuiflora,Galactia_tenuiflora,,
Galega,officinalis,Galega_officinalis,,
Galega,orientalis,Galega_orientalis,,
Gastrolobium,capitatum,Gastrolobium_capitatum,,
Genista,hystrix,Genista_hystrix,,
Genista,microcephala,Genista_microcephala,,
Genista,saharae,Genista_saharae,,
Genista,tinctoria,Genista_tinctoria,,
Genista,versicolor,Genista_versicolor,,
Gliricidia,sepium,Gliricidia_sepium,,
Glycine,max,Glycine_max,,
Glycine,soja,Glycine_soja,,
Glycyrrhiza,multiflora,Glycyrrhiza_multiflora,,
Glycyrrhiza,pallidiflora,Glycyrrhiza_pallidiflora,,
Glycyrrhiza,uralensis,Glycyrrhiza_uralensis,,
Gompholobium,huegelii,Gompholobium_huegelii,,
Gompholobium,polymorphum,Gompholobium_polymorphum,,
Goodia,lotifolia,Goodia_lotifolia,,
Gueldenstaedtia,himalaica,Gueldenstaedtia_himalaica,,
Gueldenstaedtia,multiflora,Gueldenstaedtia_multiflora,,
Halimodendron,halodendron,Halimodendron_halodendron,,
Halimondendron,holodendron,Halimondendron_holodendron,,
Hardenbergia,violacea,Hardenbergia_violacea,,
Hedysarum,carnosum,Hedysarum_carnosum,,
Hedysarum,confertum Desf.,Hedysarum_confertum Desf.,,
Hedysarum,coronarium,Hedysarum_coronarium,,
Hedysarum,coronarium L. Leguminosae,Hedysarum_coronarium L. Leguminosae,,
Hedysarum,crinita,Hedysarum_crinita,,
Hedysarum,mongholicus,Hedysarum_mongholicus,,
Hedysarum,polybotrys,Hedysarum_polybotrys,,
Hedysarum,scoparium,Hedysarum_scoparium,,
Hedysarum,spinosissimum,Hedysarum_spinosissimum,,
Hippocrepis,bicontorta,Hippocrepis_bicontorta,,
Hipporcrepis,bicontorta,Hipporcrepis_bicontorta,,
Hovea,linearis,Hovea_linearis,,
Hovea,purpurea,Hovea_purpurea,,
Hypocalyptus,coluteoides,Hypocalyptus_coluteoides,,
Hypocalyptus,oxalidifolius,Hypocalyptus_oxalidifolius,,
Hypocalyptus,sophoroides,Hypocalyptus_sophoroides,,
Indigofea,amorphoides,Indigofea_amorphoides,,
Indigofera,amblyantha,Indigofera_amblyantha,,
Indigofera,arrecta,Indigofera_arrecta,,
Indigofera,astragalina,Indigofera_astragalina,,
Indigofera,australis,Indigofera_australis,,
Indigofera,carlesii,Indigofera_carlesii,,
Indigofera,colutea,Indigofera_colutea,,
Indigofera,cytisoides,Indigofera_cytisoides,,
Indigofera,hirsuta,Indigofera_hirsuta,,
Indigofera,linifolia,Indigofera_linifolia,,
Indigofera,linnaei,Indigofera_linnaei,,
Indigofera,microcarpa,Indigofera_microcarpa,,
Indigofera,parviflora,Indigofera_parviflora,,
Indigofera,potaninii,Indigofera_potaninii,,
Indigofera,saxicola,Indigofera_saxicola,,
Indigofera,senegalenis,Indigofera_senegalenis,,
Indigofera,sp,Indigofera_sp,,
Indigofera,stenophylla,Indigofera_stenophylla,,
Indigofera,tinctoria,Indigofera_tinctoria,,
Indigofera,trita,Indigofera_trita,,
Indigofera,viscosa,Indigofera_viscosa,,
Inga,laurina,Inga_laurina,,
Inga,oerstediana,Inga_oerstediana,,
Inga,pavoniana,Inga_pavoniana,,
Inga,uraguensis,Inga_uraguensis,,
Inga,uruguensis,Inga_uruguensis,,
Jacksonia,dilatata,Jacksonia_dilatata,,
Jacksonia,sericea,Jacksonia_sericea,,
Kennedia,coccinea,Kennedia_coccinea,not cultivated,
Kummerowia,stipulacea,Kummerowia_stipulacea,multiple,
Kummerowia,striata,Kummerowia_striata,rangeland/pastureland,
Laburnum,anagyroides,Laburnum_anagyroides,ornamental,
Lathyrus,aphaca,Lathyrus_aphaca,not cultivated,
Lathyrus,humilis,Lathyrus_humilis,not cultivated,
Lathyrus,japonicus,Lathyrus_japonicus,not cultivated,
Lathyrus,latifolius,Lathyrus_latifolius,ornamental,
Lathyrus,nissolia,Lathyrus_nissolia,not cultivated,
Lathyrus,numidicus,Lathyrus_numidicus,not cultivated,
Lathyrus,odoratus,Lathyrus_odoratus,ornamental,
Lathyrus,pratensis,Lathyrus_pratensis,not cultivated,
Lathyrus,tuberosus,Lathyrus_tuberosus,row crop,
Lebeckia,ambigua,Lebeckia_ambigua,not cultivated,
Lespedeza,bicolor,Lespedeza_bicolor,multiple,
Lespedeza,bicolor for. alba,Lespedeza_bicolor for. alba,multiple,
Lespedeza,capitata,Lespedeza_capitata,rangeland/pastureland,
Lespedeza,cuneata,Lespedeza_cuneata,multiple,
Lespedeza,cyrtobotrya,Lespedeza_cyrtobotrya,not cultivated,
Lespedeza,daurica,Lespedeza_daurica,not cultivated,
Lespedeza,davidii,Lespedeza_davidii,not cultivated,
Lespedeza,davurica,Lespedeza_davurica,medicinal,
Lespedeza,floribunda,Lespedeza_floribunda,ornamental,
Lespedeza,formosa,Lespedeza_formosa,ornamental,
Lespedeza,hedysaroides,Lespedeza_hedysaroides,ornamental,
Lespedeza,hirta,Lespedeza_hirta,ornamental,
Lespedeza,inschanica,Lespedeza_inschanica,ornamental,
Lespedeza,intermedia,Lespedeza_intermedia,not cultivated,
Lespedeza,juncea,Lespedeza_juncea,ornamental,
Lespedeza,maximowiczii,Lespedeza_maximowiczii,ornamental,
Lespedeza,maximowiezzi var. tomentella,Lespedeza_maximowiezzi var. tomentella,ornamental,
Lespedeza,procumbens,Lespedeza_procumbens,not cultivated,
Lespedeza,sp,Lespedeza_sp,,
Lespedeza,sp,Lespedeza_sp.,,
Lespedeza,stipulacea,Lespedeza_stipulacea,multiple,
Lespedeza,striata,Lespedeza_striata,rangeland/pastureland,
Lespedeza,tomentosa,Lespedeza_tomentosa,not cultivated,
Lespedeza,virgata,Lespedeza_virgata,not cultivated,
Lessertia,annularis,Lessertia_annularis,not cultivated,
Lessertia,capitata,Lessertia_capitata,not cultivated,
Lessertia,diffusa,Lessertia_diffusa,not cultivated,
Lessertia,excisa,Lessertia_excisa,not cultivated,
Lessertia,frutescens,Lessertia_frutescens,not cultivated,
Lessertia,herbacea,Lessertia_herbacea,not cultivated,
Lessertia,incana,Lessertia_incana,not cultivated,
Lessertia,microphylla,Lessertia_microphylla,medicinal,
Lessertia,pauciflora,Lessertia_pauciflora,not cultivated,
Lessertia,sp,Lessertia_sp,,
Leucaena,leucocephala,Leucaena_leucocephala,agroforestry,
Lonchocarpus,atropurpureus,Lonchocarpus_atropurpureus,not cultivated,
Lonchocarpus,nitidus,Lonchocarpus_nitidus,not cultivated,
Lotononis,bainesii,Lotononis_bainesii,rangeland/pastureland,
Lotus,argenteus,Lotus_argenteus,not cultivated,
Lotus,arinagensis,Lotus_arinagensis,not cultivated,
Lotus,berthelotii,Lotus_berthelotii,ornamental,
Lotus,callis-viridis,Lotus_callis-viridis,not cultivated,
Lotus,campylocladus,Lotus_campylocladus,not cultivated,
Lotus,corniculatus,Lotus_corniculatus,rangeland/pastureland,
Lotus,creticus,Lotus_creticus,anti-errosion ,
Lotus,cruentus,Lotus_cruentus,not cultivated,
Lotus,frondosus,Lotus_frondosus,not cultivated,
Lotus,halophilus,Lotus_halophilus,not cultivated,
Lotus,kunkelii,Lotus_kunkelii,not cultivated,
Lotus,lancerottensis,Lotus_lancerottensis,not cultivated,
Lotus,maculatus,Lotus_maculatus,ornamental,
Lotus,oroboides,Lotus_oroboides,not cultivated,
Lotus,pedunculatus,Lotus_pedunculatus,not cultivated,
Lotus,pyranthus,Lotus_pyranthus,ornamental,
Lotus,roudairei,Lotus_roudairei,not cultivated,
Lotus,sessilifolius,Lotus_sessilifolius,not cultivated,
Lotus,spp,Lotus_spp,,
Lotus,subbiflorus,Lotus_subbiflorus,not cultivated,
Lotus,tenuis,Lotus_tenuis,not cultivated,
Lotus,uliginosus,Lotus_uliginosus,not cultivated,
Lupinus,albescens,Lupinus_albescens,rangeland/pastureland,
Lupinus,albus,Lupinus_albus,row crop,
Lupinus,angustifolius,Lupinus_angustifolius,rangeland/pastureland,
Lupinus,bandelierae,Lupinus_bandelierae,not cultivated,
Lupinus,bracteolaris,Lupinus_bracteolaris,not cultivated,
Lupinus,breviscapus,Lupinus_breviscapus,not cultivated,
Lupinus,campestris,Lupinus_campestris,not cultivated,
Lupinus,cosentinii,Lupinus_cosentinii,rangeland/pastureland,
Lupinus,hispanicus,Lupinus_hispanicus,not cultivated,
Lupinus,honoratus,Lupinus_honoratus,not cultivated,
Lupinus,luteus,Lupinus_luteus,row crop,
Lupinus,mariae-josephae,Lupinus_mariae-josephae,not cultivated,
Lupinus,micranthus,Lupinus_micranthus,not cultivated,
Lupinus,misticola,Lupinus_misticola,not cultivated,
Lupinus,mutabilis,Lupinus_mutabilis,row crop,
Lupinus,nootkatensis,Lupinus_nootkatensis,anti-errosion ,
Lupinus,paraguariensis,Lupinus_paraguariensis,not cultivated,
Lupinus,paranensis,Lupinus_paranensis,not cultivated,
Lupinus,perennis,Lupinus_perennis,not cultivated,
Lupinus,polyphyllus,Lupinus_polyphyllus,ornamental,
Lupinus,pycnostachys,Lupinus_pycnostachys,not cultivated,
Lupinus,rubriflorus,Lupinus_rubriflorus,not cultivated,
Lupinus,sp,Lupinus_sp,,
Lupinus,sp.,Lupinus_sp.,,
Lupinus,texensis,Lupinus_texensis,not cultivated,
Lupinus,tominensis,Lupinus_tominensis,not cultivated,
Lupinus,uleanus,Lupinus_uleanus,not cultivated,
Maackia,amurensis,Maackia_amurensis,not cultivated,
Machaerium,lunatum,Machaerium_lunatum,medicinal,
Machaerium,milleflorum,Machaerium_milleflorum,not cultivated,
Machaerium,milliflorum,Machaerium_milliflorum,not cultivated,
Macroptilium,atropurpureum,Macroptilium_atropurpureum,multiple,
Macroptilium,gibbosifolium,Macroptilium_gibbosifolium,not cultivated,
Macrotyloma,uniflorum,Macrotyloma_uniflorum,row crop,
Medicago,arabica,Medicago_arabica,not cultivated,
Medicago,arborea,Medicago_arborea,ornamental,
Medicago,archiducis-nicolai,Medicago_archiducis-nicolai,not cultivated,
Medicago,ciliaris,Medicago_ciliaris,not cultivated,
Medicago,falcata,Medicago_falcata,rangeland/pastureland,
Medicago,laciniata,Medicago_laciniata,not cultivated,
Medicago,lupulina,Medicago_lupulina,rangeland/pastureland,
Medicago,marina,Medicago_marina,not cultivated,
Medicago,minima,Medicago_minima,not cultivated,
Medicago,platycarpes,Medicago_platycarpes,,
Medicago,polymorpha,Medicago_polymorpha,,
Medicago,sativa,Medicago_sativa,,
Medicago,scutellata,Medicago_scutellata,,
Medicago,sp,Medicago_sp,,
Medicago,sphaerocarpa,Medicago_sphaerocarpa,,
Medicago,truncatula,Medicago_truncatula,,
Melilotus,albus,Melilotus_albus,,
Melilotus,dentatus,Melilotus_dentatus,,
Melilotus,indicus,Melilotus_indicus,,
Melilotus,officinalis,Melilotus_officinalis,,
Melilotus,parviflorus,Melilotus_parviflorus,,
Microlobius,foetidus,Microlobius_foetidus,,
Millettia,leucantha,Millettia_leucantha,,
Mimosa,acutisipula,Mimosa_acutisipula,,
Mimosa,affinis,Mimosa_affinis,,
Mimosa,asperata,Mimosa_asperata,,
Mimosa,bimucronata,Mimosa_bimucronata,,
Mimosa,caesalpiniaefolia,Mimosa_caesalpiniaefolia,,
Mimosa,candollei,Mimosa_candollei,,
Mimosa,casta,Mimosa_casta,,
Mimosa,ceratonia,Mimosa_ceratonia,,
Mimosa,cordistipula,Mimosa_cordistipula,,
Mimosa,diplotricha,Mimosa_diplotricha,,
Mimosa,flocculosa,Mimosa_flocculosa,,
Mimosa,hamata,Mimosa_hamata,,
Mimosa,himalayana,Mimosa_himalayana,,
Mimosa,invisa,Mimosa_invisa,,
Mimosa,misera,Mimosa_misera,,
Mimosa,paraibana,Mimosa_paraibana,,
Mimosa,pigra,Mimosa_pigra,,
Mimosa,pudica,Mimosa_pudica,,
Mimosa,scabrella,Mimosa_scabrella,,
Mimosa,spp,Mimosa_spp,,
Mimosa,tenuiflora,Mimosa_tenuiflora,,
Mirbelia,oxylobioides,Mirbelia_oxylobioides,,
Mirbelia,rubiifolia,Mirbelia_rubiifolia,,
Moghania,faginea,Moghania_faginea,,
Montigena,novae-zelandiae,Montigena_novae-zelandiae,,
Mucuna,aterrima,Mucuna_aterrima,,
Neptunia,gracilis,Neptunia_gracilis,,
Neptunia,natans,Neptunia_natans,,
Neptunia,oleracea,Neptunia_oleracea,,
Neptunia,plena,Neptunia_plena,,
Onobrychis,arenaria,Onobrychis_arenaria,,
