"","paper_id","sample_country","clean_name","author","title","year","journal","volume","issue","pages","notes"
"36",21,"Russia","Galega officinalis","Andronov et al","Symbiotic and Genetic Diversity of Rhizobium galegae Isolates Collected from the Galega orientalis Gene Center in the Caucasus",2003,"Applied and Environmental Microbiology",69,"2","1067-1074",""
"43",21,"Russia","Galega orientalis","Andronov et al","Symbiotic and Genetic Diversity of Rhizobium galegae Isolates Collected from the Galega orientalis Gene Center in the Caucasus",2003,"Applied and Environmental Microbiology",69,"2","1067-1074",""
"50",22,"Philippines","Mimosa diplotricha","Andrus et al","American origin of Cupriavidus bacteria associated with invasive Mimosa legumes in the Philippines",2012,"FEMS Microbiology Ecology",80,"","747-750","home and away"
"55",22,"Philippines","Mimosa pudica","Andrus et al","American origin of Cupriavidus bacteria associated with invasive Mimosa legumes in the Philippines",2012,"FEMS Microbiology Ecology",80,"","747-750","home and away"
"60",23,"Japan","Lathyrus japonicus","Aoki et al","Genotypic and phenotypic diversity of rhizobia isolated from Lathyrus japonicus indigenous to Japan",2010,"Systematic and Applied Microbiology",33,"","383-397",""
"65",24,"Australia","Acacia longifolia","Crisostomo et al","Co-introduction of exotic rhizobia to the rhizosphere of the invasive legume Acacia saligna, an intercontinental study",2013,"Applied Soil Ecology",64,"","118-126","native and invasive;  compared to reference strains from other continents"
"68",24,"Portugal","Acacia saligna","Crisostomo et al","Co-introduction of exotic rhizobia to the rhizosphere of the invasive legume Acacia saligna, an intercontinental study",2013,"Applied Soil Ecology",64,"","118-126","native and invasive;  compared to reference strains from other continents"
"69",24,"Australia","Acacia saligna","Crisostomo et al","Co-introduction of exotic rhizobia to the rhizosphere of the invasive legume Acacia saligna, an intercontinental study",2013,"Applied Soil Ecology",64,"","118-126","native and invasive;  compared to reference strains from other continents"
"74",25,"Canary_Islands","Cicer canariense","Armas-Capote et al","Core and symbiotic genes reveal nine Mesorhizobium genospecies and three symbiotic lineages among the rhizobia nodulating Cicer canariense in its natural habitat (La Palma, Canary Islands)",2013,"Systematic and Applied Microbiology",37,"2","140-148",""
"80",26,"Ethiopia","Crotalaria incana","Aserse et al","Phylogenetically diverse groups of Bradyrhizobium isolated from nodules of Crotalaria spp., Indigofera spp., Erythrina brucei and Glycine max growing in Ethiopia",2012,"Molecular Phylogenetics and Evolution",65,"","595-609","compared to reference strains from other continents"
"85",26,"Ethiopia","Erythrina brucei","Aserse et al","Phylogenetically diverse groups of Bradyrhizobium isolated from nodules of Crotalaria spp., Indigofera spp., Erythrina brucei and Glycine max growing in Ethiopia",2012,"Molecular Phylogenetics and Evolution",65,"","595-609","compared to reference strains from other continents"
"90",26,"Ethiopia","Indigofera arrecta","Aserse et al","Phylogenetically diverse groups of Bradyrhizobium isolated from nodules of Crotalaria spp., Indigofera spp., Erythrina brucei and Glycine max growing in Ethiopia",2012,"Molecular Phylogenetics and Evolution",65,"","595-609","compared to reference strains from other continents"
"95",27,"Ethiopia","Crotalaria spinosa","Arense et al","Diversity of sporadic symbionts and nonsymbiotic endophytic bacteria isolated from nodules of woody, shrub, and food legumes in Ethiopia",2013,"Applied Microbiology and Biotechnology",97,"","10117-10134",""
"96",27,"Ethiopia","Crotalaria incana","Arense et al","Diversity of sporadic symbionts and nonsymbiotic endophytic bacteria isolated from nodules of woody, shrub, and food legumes in Ethiopia",2013,"Applied Microbiology and Biotechnology",97,"","10117-10134",""
"97",27,"Ethiopia","Erythrina brucei","Arense et al","Diversity of sporadic symbionts and nonsymbiotic endophytic bacteria isolated from nodules of woody, shrub, and food legumes in Ethiopia",2013,"Applied Microbiology and Biotechnology",97,"","10117-10134",""
"98",27,"Ethiopia","Indigofera arrecta","Arense et al","Diversity of sporadic symbionts and nonsymbiotic endophytic bacteria isolated from nodules of woody, shrub, and food legumes in Ethiopia",2013,"Applied Microbiology and Biotechnology",97,"","10117-10134",""
"99",29,"Tunisia","Medicago laciniata","Badri et al","Comparison of rhizobia that nodulate Medicago laciniata and Medicago truncatula present in a single Tunisian arid soil",2007,"Canadian Journal of Microbiology",53,"","277-283","also checks nodulation of rhizobia on other plants"
"101",29,"Tunisia","Medicago truncatula","Badri et al","Comparison of rhizobia that nodulate Medicago laciniata and Medicago truncatula present in a single Tunisian arid soil",2007,"Canadian Journal of Microbiology",53,"","277-283","also checks nodulation of rhizobia on other plants"
"103",30,"Hungary","Onobrychis arenaria","Baimiev et al","Bacteria Closely Related to Phyllobacterium trifolii According to Their 16S rRNA Gene Are Discovered in the Nodules of Hungarian Sainfoin",2007,"Russian Journal of Genetics",43,"5","587-590",""
"105",31,"Russia","Astragalus cicer","Baimiev et al","Phylogeny and Genetic Diversity of the Astragalus cicer Root Nodule Bacterial Symbionts",2007,"Microbiology",76,"1","115-117",""
"107",32,"Senegal","Acacia senegal","Bakhoum et al","Distribution and Diversity of Rhizobial Populations Associated with Acacia senegal (L.) Willd. Provenances in Senegalese Arid and Semiarid Regions",2014,"Open Journal of Forestry",4,"2","136-143",""
"109",34,"Brazil","Centrolobium paraense","Barauna et al","Diversity and nitrogen fixation efficiency of rhizobia isolated from nodules of Centrolobium paraense",2014,"Brasilia",49,"4","296-305",""
"111",35,"Panama","Abarema macradenia","Barrett and Parker","Prevalence of Burkholderia sp. nodule symbionts on four mimosoid legumes from Barro Colorado Island, Panama",2005,"Systematic and Applied Microbiology",28,"","57-65",""
"112",35,"Panama","Mimosa casta","Barrett and Parker","Prevalence of Burkholderia sp. nodule symbionts on four mimosoid legumes from Barro Colorado Island, Panama",2005,"Systematic and Applied Microbiology",28,"","57-65",""
"113",35,"Panama","Mimosa pigra","Barrett and Parker","Prevalence of Burkholderia sp. nodule symbionts on four mimosoid legumes from Barro Colorado Island, Panama",2005,"Systematic and Applied Microbiology",28,"","57-65",""
"114",35,"Panama","Mimosa pudica","Barrett and Parker","Prevalence of Burkholderia sp. nodule symbionts on four mimosoid legumes from Barro Colorado Island, Panama",2005,"Systematic and Applied Microbiology",28,"","57-65",""
"115",36,"Costa_Rica","Mimosa pigra","Barrett and Parker","Coexistence of Burkholderia, Cupriavidus, and Rhizobium sp. Nodule Bacteria on two Mimosa spp. in Costa Rica",2006,"Applied and Environmental Microbiology",72,"2","1198-1206",""
"116",36,"Costa_Rica","Mimosa pudica","Barrett and Parker","Coexistence of Burkholderia, Cupriavidus, and Rhizobium sp. Nodule Bacteria on two Mimosa spp. in Costa Rica",2006,"Applied and Environmental Microbiology",72,"2","1198-1206",""
"117",37,"Uruguay","Lotus pedunculatus","Batista et al","Diversity and phylogeny of rhizobial strains isolated from Lotus uliginosus grown in Uruguayan soils",2013,"Applied Soil Ecology",66,"","19-28",""
"124",38,"Russia","Caragana arborescens","Baymiev et al","Influence of the Introduction of Caragana arborescens on the Composition of Its Root Nodule Bacteria",2010,"Microbiology",79,"1","115-120",""
"126",39,"Morocco","Prosopis juliflora","Benata et al","Diversity of bacteria that nodulate Prosopis juliflora in the eastern area of Morocco",2008,"Systematic and Applied Microbiology",31,"","378-386",""
"128",40,"South_Africa","Cyclopia intermedia","Beukes et al","South African Papilionoid Legumes Are Nodulated by Diverse Burkholderia with Unique Nodulation and Nitrogen-Fixation Loci",2013,"PLoS ONE",8,"7","e68406","compared to reference strains from other continents"
"132",40,"South_Africa","Hypocalyptus coluteoides","Beukes et al","South African Papilionoid Legumes Are Nodulated by Diverse Burkholderia with Unique Nodulation and Nitrogen-Fixation Loci",2013,"PLoS ONE",8,"7","e68406","compared to reference strains from other continents"
"136",40,"South_Africa","Hypocalyptus oxalidifolius","Beukes et al","South African Papilionoid Legumes Are Nodulated by Diverse Burkholderia with Unique Nodulation and Nitrogen-Fixation Loci",2013,"PLoS ONE",8,"7","e68406","compared to reference strains from other continents"
"140",40,"South_Africa","Hypocalyptus sophoroides","Beukes et al","South African Papilionoid Legumes Are Nodulated by Diverse Burkholderia with Unique Nodulation and Nitrogen-Fixation Loci",2013,"PLoS ONE",8,"7","e68406","compared to reference strains from other continents"
"144",40,"South_Africa","Virgilia oroboides","Beukes et al","South African Papilionoid Legumes Are Nodulated by Diverse Burkholderia with Unique Nodulation and Nitrogen-Fixation Loci",2013,"PLoS ONE",8,"7","e68406","compared to reference strains from other continents"
"148",40,"South_Africa","Podalyria calyptrata","Beukes et al","South African Papilionoid Legumes Are Nodulated by Diverse Burkholderia with Unique Nodulation and Nitrogen-Fixation Loci",2013,"PLoS ONE",8,"7","e68406","compared to reference strains from other continents"
"152",41,"United_States","Desmanthus illinoensis","Beyhaut et al","Rhizobium giardinii is the microsymbiont of Illinois bundleflower (Desmanthus illinoensis (Michx.) Macmillan) in midwestern prairies",2006,"Canadian Journal of Microbiology",52,"","903-907","also checks nodulation of rhizobia on other plants"
"154",42,"Argentina","Adesmia bicolor","Bianco et al","Diversity and Symbiotic Effectiveness of Indigenous Rhizobia-Nodulating Adesmia bicolor in Soils of Central Argentina",2013,"Current Microbiology",66,"","174-184",""
"156",43,"Uruguay","Sesbania punicea","Blanco et al","Characterization of rhizobia from Sesbania species native to seasonally wetland areas in Uruguay",2008,"Biology and Fertility of Soils",44,"","925-932","also checks nodulation of rhizobia on other plants"
"158",43,"Uruguay","Sesbania virgata","Blanco et al","Characterization of rhizobia from Sesbania species native to seasonally wetland areas in Uruguay",2008,"Biology and Fertility of Soils",44,"","925-932","also checks nodulation of rhizobia on other plants"
"160",44,"United_States","Lupinus angustifolius","Bottomley et al","Genetic Structure and Symbiotic Characteristics of a Bradyrhizobium Population Recovered from a Pasture Soil",1994,"Applied and Environmental Microbiology",60,"6","1754-1761","also checks nodulation of rhizobia on other plants"
"161",44,"United_States","Ornithopus compressus","Bottomley et al","Genetic Structure and Symbiotic Characteristics of a Bradyrhizobium Population Recovered from a Pasture Soil",1994,"Applied and Environmental Microbiology",60,"6","1754-1761","also checks nodulation of rhizobia on other plants"
"162",44,"United_States","Macroptilium atropurpureum","Bottomley et al","Genetic Structure and Symbiotic Characteristics of a Bradyrhizobium Population Recovered from a Pasture Soil",1994,"Applied and Environmental Microbiology",60,"6","1754-1761","also checks nodulation of rhizobia on other plants"
"163",45,"Algeria","Acacia mearnsii","Boudiaf et al","Soil Bradyrhizobium population response to invasion of a natural Quercus suber forest by the introduced nitrogen-fixing tree Acacia mearnsii in El Kala National Park, Algeria",2014,"Soil Biology and Biochemistry",70,"","162-165","examines rhizobial communities across an invasion gradient"
"164",46,"Algeria","Acacia ehrenbergiana","Boukhatem et al","Symbiotic characterization and diversity of rhizobia associated with native and introduced acacias in arid and semi-arid regions in Algeria",2012,"FEMS Microbiology Ecology",80,"","534-547","native and invasive"
"165",46,"Algeria","Acacia karroo","Boukhatem et al","Symbiotic characterization and diversity of rhizobia associated with native and introduced acacias in arid and semi-arid regions in Algeria",2012,"FEMS Microbiology Ecology",80,"","534-547","native and invasive"
"166",46,"Algeria","Acacia saligna","Boukhatem et al","Symbiotic characterization and diversity of rhizobia associated with native and introduced acacias in arid and semi-arid regions in Algeria",2012,"FEMS Microbiology Ecology",80,"","534-547","native and invasive"
"167",46,"Algeria","Acacia seyal","Boukhatem et al","Symbiotic characterization and diversity of rhizobia associated with native and introduced acacias in arid and semi-arid regions in Algeria",2012,"FEMS Microbiology Ecology",80,"","534-547","native and invasive"
"168",47,"Brazil","Anadenanthera colubrina","Bournaud et al","Burkholderia Species Are the Most Common and Preferred Nodulating Symbionts of the Piptadenia Group (Tribe Mimoseae)",2013,"PLoS ONE",8,"5","e63478",""
"170",47,"Brazil","Anadenanthera peregrina","Bournaud et al","Burkholderia Species Are the Most Common and Preferred Nodulating Symbionts of the Piptadenia Group (Tribe Mimoseae)",2013,"PLoS ONE",8,"5","e63478",""
"172",47,"Brazil","Microlobius foetidus","Bournaud et al","Burkholderia Species Are the Most Common and Preferred Nodulating Symbionts of the Piptadenia Group (Tribe Mimoseae)",2013,"PLoS ONE",8,"5","e63478",""
"174",47,"Brazil","Parapiptadenia pterosperma","Bournaud et al","Burkholderia Species Are the Most Common and Preferred Nodulating Symbionts of the Piptadenia Group (Tribe Mimoseae)",2013,"PLoS ONE",8,"5","e63478",""
"176",47,"Brazil","Parapiptadenia rigida","Bournaud et al","Burkholderia Species Are the Most Common and Preferred Nodulating Symbionts of the Piptadenia Group (Tribe Mimoseae)",2013,"PLoS ONE",8,"5","e63478",""
"178",47,"Brazil","Piptadenia adiantoides","Bournaud et al","Burkholderia Species Are the Most Common and Preferred Nodulating Symbionts of the Piptadenia Group (Tribe Mimoseae)",2013,"PLoS ONE",8,"5","e63478",""
"180",47,"Brazil","Piptadenia gonoacantha","Bournaud et al","Burkholderia Species Are the Most Common and Preferred Nodulating Symbionts of the Piptadenia Group (Tribe Mimoseae)",2013,"PLoS ONE",8,"5","e63478",""
"182",47,"Brazil","Piptadenia paniculata","Bournaud et al","Burkholderia Species Are the Most Common and Preferred Nodulating Symbionts of the Piptadenia Group (Tribe Mimoseae)",2013,"PLoS ONE",8,"5","e63478",""
"184",47,"Brazil","Piptadenia trisperma","Bournaud et al","Burkholderia Species Are the Most Common and Preferred Nodulating Symbionts of the Piptadenia Group (Tribe Mimoseae)",2013,"PLoS ONE",8,"5","e63478",""
"186",47,"Brazil","Piptadenia viridiflora","Bournaud et al","Burkholderia Species Are the Most Common and Preferred Nodulating Symbionts of the Piptadenia Group (Tribe Mimoseae)",2013,"PLoS ONE",8,"5","e63478",""
"188",47,"Brazil","Pseudopiptadenia contorta","Bournaud et al","Burkholderia Species Are the Most Common and Preferred Nodulating Symbionts of the Piptadenia Group (Tribe Mimoseae)",2013,"PLoS ONE",8,"5","e63478",""
"190",49,"Brazil-Venezuela","Mimosa pudica","Chen et al","Proof that Burkholderia Strains Form Effective Symbioses with Legumes: a Study of Novel Mimosa-Nodulating Strains from South America",2005,"Applied and Environmental Microbiology",71,"11","7461-7471",""
"192",51,"India","Mimosa himalayana","Gehlot et al","An invasive Mimosa in India does not adopt the symbionts of its native relatives",2013,"Annals of Botany",112,"","179-196","native and invasive"
"195",51,"India","Mimosa pudica","Gehlot et al","An invasive Mimosa in India does not adopt the symbionts of its native relatives",2013,"Annals of Botany",112,"","179-196","native and invasive"
"198",51,"India","Mimosa hamata","Gehlot et al","An invasive Mimosa in India does not adopt the symbionts of its native relatives",2013,"Annals of Botany",112,"","179-196","native and invasive"
"201",52,"South_Africa","Indigofera hirsuta","Hassen et al","Nodulation Study and Characterization of Rhizobial Microsymbionts of Forage and Pasture Legumes in South Africa",2014,"World Journal of Agricultural Research",2,"3","93-100",""
"203",60,"Morocco","Cytisus villosus","Chahboune et al","Bradyrhizobium cytisi sp. nov., isolated from effective nodules of Cytisus villosus",2011,"International Journal of Systematic and Evolutionary Microbiology",61,"","2922-2927",""
"208",61,"China","Caragana polourensis","Chen et al","Characteristics of rhizobium tianshanense sp. nov., a moderately and slowly growing root nodule bacterium isolated from an arid saline environment in Xinjiang, people's republic of china",1995,"International Journal of Systematic Bacteriology",45,"1","153-159",""
"209",61,"China","Glycyrrhiza pallidiflora","Chen et al","Characteristics of rhizobium tianshanense sp. nov., a moderately and slowly growing root nodule bacterium isolated from an arid saline environment in Xinjiang, people's republic of china",1995,"International Journal of Systematic Bacteriology",45,"1","153-159",""
"210",61,"China","Glycyrrhiza uralensis","Chen et al","Characteristics of rhizobium tianshanense sp. nov., a moderately and slowly growing root nodule bacterium isolated from an arid saline environment in Xinjiang, people's republic of china",1995,"International Journal of Systematic Bacteriology",45,"1","153-159",""
"211",61,"China","Halimodendron halodendron","Chen et al","Characteristics of rhizobium tianshanense sp. nov., a moderately and slowly growing root nodule bacterium isolated from an arid saline environment in Xinjiang, people's republic of china",1995,"International Journal of Systematic Bacteriology",45,"1","153-159",""
"212",61,"China","Sophora alopecuroides","Chen et al","Characteristics of rhizobium tianshanense sp. nov., a moderately and slowly growing root nodule bacterium isolated from an arid saline environment in Xinjiang, people's republic of china",1995,"International Journal of Systematic Bacteriology",45,"1","153-159",""
"213",61,"China","Sphaerophysa salsula","Chen et al","Characteristics of rhizobium tianshanense sp. nov., a moderately and slowly growing root nodule bacterium isolated from an arid saline environment in Xinjiang, people's republic of china",1995,"International Journal of Systematic Bacteriology",45,"1","153-159",""
"214",62,"Taiwan","Mimosa diplotricha","Chen et al","Ralstonia taiwanesis sp. nov., isolated from root nodules of Mimosa species and sputum of cystic fibrosis patient",2001,"International Journal of Systematic and Evolutionary Microbiology",51,"","1729-1735",""
"217",62,"Taiwan","Mimosa pudica","Chen et al","Ralstonia taiwanesis sp. nov., isolated from root nodules of Mimosa species and sputum of cystic fibrosis patient",2001,"International Journal of Systematic and Evolutionary Microbiology",51,"","1729-1735",""
"220",63,"Taiwan","Mimosa pigra","Chen et al","_-Rhizobia from Mimosa pigra, a newly discovered invasive plant in Taiwan",2005,"New Phytologists",168,"","661-675",""
"225",67,"China","Astragalus adsurgens","Chen et al","Diverse nodule bacteria were associated with Astragalus species in arid region of northwestern China",2013,"Journal of Basic Microbiology",53,"","9-Jan",""
"229",67,"China","Astragalus complanatus","Chen et al","Diverse nodule bacteria were associated with Astragalus species in arid region of northwestern China",2013,"Journal of Basic Microbiology",53,"","9-Jan",""
"233",67,"China","Astragalus discolor","Chen et al","Diverse nodule bacteria were associated with Astragalus species in arid region of northwestern China",2013,"Journal of Basic Microbiology",53,"","9-Jan",""
"237",67,"China","Astragalus lepsensis","Chen et al","Diverse nodule bacteria were associated with Astragalus species in arid region of northwestern China",2013,"Journal of Basic Microbiology",53,"","9-Jan",""
"241",67,"China","Astragalus propinquus","Chen et al","Diverse nodule bacteria were associated with Astragalus species in arid region of northwestern China",2013,"Journal of Basic Microbiology",53,"","9-Jan",""
"245",67,"China","Astragalus scaberrimus","Chen et al","Diverse nodule bacteria were associated with Astragalus species in arid region of northwestern China",2013,"Journal of Basic Microbiology",53,"","9-Jan",""
"249",67,"China","Astragalus tibetanus","Chen et al","Diverse nodule bacteria were associated with Astragalus species in arid region of northwestern China",2013,"Journal of Basic Microbiology",53,"","9-Jan",""
"253",67,"China","Astragalus efoliolatus","Chen et al","Diverse nodule bacteria were associated with Astragalus species in arid region of northwestern China",2013,"Journal of Basic Microbiology",53,"","9-Jan",""
"257",67,"China","Astragalus kifonsanicus","Chen et al","Diverse nodule bacteria were associated with Astragalus species in arid region of northwestern China",2013,"Journal of Basic Microbiology",53,"","9-Jan",""
"261",68,"China","Alhagi sparsifolia","Chen et al","Mesorhizobium alhagi sp. nov., isolated from wild Alhagi sparsifolia in north-western China",2010,"International Journal of Systematic and Evolutionary Microbiology",60,"","985-962",""
"262",69,"China","Arachis duranensis","Chen et al","Wild peanut Arachis duranensis are nodulated by diverse and novel Bradyrhizobium species in acid soils",2014,"Systematic and Applied Microbiology",37,"7","525-532",""
"268",71,"Spain","Genista versicolor","Cobo-Diaz et al","The endemic Genista versicolor from Sierra Nevada National Park in Spain is nodulated by putative new Bradyrhizobium species and a novel sybiovar (sierranevadense)",2013,"Systematic and Applied Microbiology",37,"3","177-185",""
"274",72,"Brazil","Sesbania virgata","da Silva et al","Cupriavidus necator isolates are able to fix nitrogen in symbiosis with different legume species",2012,"Systematic and Applied Microbiology",35,"","175-182",""
"278",73,"Brazil","Inga laurina","da Silva et al","Bradyrhizobium ingae sp. nov., isolated from effective nodules of Igna laurina grown in Cerrado soil of Amazonia, Brazil",2014,"International Journal of Systematic and Evolutionary Microbiology",64,"","3395-3401",""
"286",74,"China","Caragana microphylla","Dai et al","Genetic diversity and phylogeny of rhizobia isolated from Caragana microphylla growing in desert soil in Ningxia, China",2012,"Genetics and Molecular Research",11,"3","2683-2693",""
"290",75,"Brazil","Mimosa tenuiflora","de Freitas et al","Characteristics of nodule bacteria from Mimosa spp grown in soils of the Brazilian semiarid region",2014,"African Journal of Microbiology Research",8,"8","788-796",""
"292",75,"Brazil","Mimosa paraibana","de Freitas et al","Characteristics of nodule bacteria from Mimosa spp grown in soils of the Brazilian semiarid region",2014,"African Journal of Microbiology Research",8,"8","788-796",""
"294",76,"Senegal","Acacia horrida","de Lajudie","Polyphasic taxonomy of rhizobia: Emendation of the genus Sinorhizobium and description of Sinorhizobium meliloti comb. nov., Sinorhizobium saheli sp. nov., and Sinorhizobium teranga sp. nov.",1994,"International Journal of Systematic Bacteriology",44,"4","715-733",""
"296",76,"Senegal","Acacia laeta","de Lajudie","Polyphasic taxonomy of rhizobia: Emendation of the genus Sinorhizobium and description of Sinorhizobium meliloti comb. nov., Sinorhizobium saheli sp. nov., and Sinorhizobium teranga sp. nov.",1994,"International Journal of Systematic Bacteriology",44,"4","715-733",""
"298",76,"Senegal","Acacia tortilis","de Lajudie","Polyphasic taxonomy of rhizobia: Emendation of the genus Sinorhizobium and description of Sinorhizobium meliloti comb. nov., Sinorhizobium saheli sp. nov., and Sinorhizobium teranga sp. nov.",1994,"International Journal of Systematic Bacteriology",44,"4","715-733",""
"300",76,"Senegal","Acacia senegal","de Lajudie","Polyphasic taxonomy of rhizobia: Emendation of the genus Sinorhizobium and description of Sinorhizobium meliloti comb. nov., Sinorhizobium saheli sp. nov., and Sinorhizobium teranga sp. nov.",1994,"International Journal of Systematic Bacteriology",44,"4","715-733",""
"302",76,"Senegal","Acacia seyal","de Lajudie","Polyphasic taxonomy of rhizobia: Emendation of the genus Sinorhizobium and description of Sinorhizobium meliloti comb. nov., Sinorhizobium saheli sp. nov., and Sinorhizobium teranga sp. nov.",1994,"International Journal of Systematic Bacteriology",44,"4","715-733",""
"304",76,"Senegal","Sesbania rostrata","de Lajudie","Polyphasic taxonomy of rhizobia: Emendation of the genus Sinorhizobium and description of Sinorhizobium meliloti comb. nov., Sinorhizobium saheli sp. nov., and Sinorhizobium teranga sp. nov.",1994,"International Journal of Systematic Bacteriology",44,"4","715-733",""
"306",76,"Senegal","Sesbania senegal","de Lajudie","Polyphasic taxonomy of rhizobia: Emendation of the genus Sinorhizobium and description of Sinorhizobium meliloti comb. nov., Sinorhizobium saheli sp. nov., and Sinorhizobium teranga sp. nov.",1994,"International Journal of Systematic Bacteriology",44,"4","715-733",""
"308",77,"Senegal","Acacia senegal","de Lajudie","Characterization of tropical tree rhizobia and description of Mesorhizobium plurifarium sp. nov.",1998,"International Journal of Systematic Bacteriology",48,"","369-382",""
"310",77,"Senegal","Acacia tortilis","de Lajudie","Characterization of tropical tree rhizobia and description of Mesorhizobium plurifarium sp. nov.",1998,"International Journal of Systematic Bacteriology",48,"","369-382",""
"312",77,"Senegal","Prosopis juliflora","de Lajudie","Characterization of tropical tree rhizobia and description of Mesorhizobium plurifarium sp. nov.",1998,"International Journal of Systematic Bacteriology",48,"","369-382",""
"314",78,"Senegal","Prosopis juliflora","de Lajudie","Agrobacterium bv. 1 strains isolated from nodules of tropical legumes",1999,"Systematic and Applied Microbiology",22,"","119-132",""
"316",79,"Belgium","Melilotus indicus","De Meyer et al","Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)",2011,"Soil Biology and Biochemistry",43,"","2384-2396",""
"320",79,"Belgium","Ornithopus perpusillus","De Meyer et al","Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)",2011,"Soil Biology and Biochemistry",43,"","2384-2396",""
"324",79,"Belgium","Trifolium campestre","De Meyer et al","Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)",2011,"Soil Biology and Biochemistry",43,"","2384-2396",""
"328",79,"Belgium","Trifolium dubium","De Meyer et al","Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)",2011,"Soil Biology and Biochemistry",43,"","2384-2396",""
"332",79,"Belgium","Cytisus scoparius","De Meyer et al","Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)",2011,"Soil Biology and Biochemistry",43,"","2384-2396",""
"336",79,"Belgium","Lathyrus pratensis","De Meyer et al","Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)",2011,"Soil Biology and Biochemistry",43,"","2384-2396",""
"340",79,"Belgium","Lotus corniculatus","De Meyer et al","Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)",2011,"Soil Biology and Biochemistry",43,"","2384-2396",""
"344",79,"Belgium","Lotus pedunculatus","De Meyer et al","Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)",2011,"Soil Biology and Biochemistry",43,"","2384-2396",""
"348",79,"Belgium","Lupinus polyphyllus","De Meyer et al","Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)",2011,"Soil Biology and Biochemistry",43,"","2384-2396",""
"352",79,"Belgium","Medicago lupulina","De Meyer et al","Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)",2011,"Soil Biology and Biochemistry",43,"","2384-2396",""
"356",79,"Belgium","Melilotus officinalis","De Meyer et al","Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)",2011,"Soil Biology and Biochemistry",43,"","2384-2396",""
"360",79,"Belgium","Ononis spinosa","De Meyer et al","Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)",2011,"Soil Biology and Biochemistry",43,"","2384-2396",""
"364",79,"Belgium","Robinia pseudoacacia","De Meyer et al","Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)",2011,"Soil Biology and Biochemistry",43,"","2384-2396",""
